gridcell,CO2,SAT_1,BD_1,SOC_1,PH_1,WN,WR,xWIrri,MN,MR,xMIrri,Period,SSP,GCMsLabel,GHG,NetGHG,Yield,WMSOC,New_GHG,New_NetGHG,New_Yield,New_WMSOC,lon,lat,source_batch
67878.0,641.34,0.43,1.37,0.57,8.13,162.5832,0.6,100.0944,123.16,0.81,150.6162,2060s,ssp585,IPSL_CM6A_LR,6281.080318773032,6022.987318773032,12.605241060256958,-258.093,10478.55117833776,10218.08717833776,14.23203528404236,-260.464,116.75,40.275000000000006,Xiao2024_rds_2060s
67878.0,512.23,0.43,1.37,0.57,8.13,160.28495999999998,0.43,188.013,180.88,0.87,143.7312,2060s,ssp245,MIROC6,8754.13293161467,8496.04793161467,13.895711636543275,-258.085,10810.372640764625,10472.892640764623,14.784408020973206,-337.48,116.75,40.275000000000006,Xiao2024_rds_2060s
67878.0,641.34,0.43,1.37,0.57,8.13,157.01399999999998,0.54,157.03632,161.64,0.82,152.89960000000002,2060s,ssp585,MIROC6,7568.748986036321,7268.384986036322,13.392910385131838,-300.364,10446.645570160572,10113.971570160573,14.313089361190798,-332.674,116.75,40.275000000000006,Xiao2024_rds_2060s
69198.0,437.32,0.43,1.37,0.57,8.13,157.22453999999996,0.8,191.2617,197.98,0.93,143.89,2030s,ssp245,BCC_CSM2_MR,8708.80079544716,7823.86579544716,14.477374720573426,-884.935,9936.207070028691,9019.520070028691,15.0695721244812,-916.687,116.75,40.26666666666667,Xiao2024_rds_2030s
69198.0,456.39,0.43,1.37,0.57,8.13,156.10896,0.77,175.4774,182.0,0.93,157.6765,2030s,ssp585,BCC_CSM2_MR,8117.313224706891,7252.72222470689,14.237915062904358,-864.591,10140.343749201207,9304.885749201208,15.002006688117982,-835.458,116.75,40.26666666666667,Xiao2024_rds_2030s
69198.0,437.32,0.43,1.37,0.57,8.13,156.28769999999997,0.8,197.2887,199.76,0.93,157.18,2030s,ssp245,FGOALS_g3,8978.70081285722,8046.73281285722,14.11490173339844,-931.968,10041.992911970528,9106.826911970527,14.789420371055604,-935.166,116.75,40.26666666666667,Xiao2024_rds_2030s
69198.0,456.39,0.43,1.37,0.57,8.13,156.06,0.79,203.51702,188.46,0.93,155.3075,2030s,ssp585,FGOALS_g3,8730.237470396662,7845.010470396662,14.0162113904953,-885.227,10100.949919923629,9213.346919923628,14.677904715538029,-887.603,116.75,40.26666666666667,Xiao2024_rds_2030s
69198.0,437.32,0.43,1.37,0.57,8.13,162.63035999999997,0.8,205.1973,196.2,0.92,162.6,2030s,ssp245,GFDL_ESM4,9205.38728132082,8317.55128132082,14.896413302421571,-887.836,10232.353893366791,9400.347893366794,15.07443829059601,-832.006,116.75,40.26666666666667,Xiao2024_rds_2030s
69198.0,456.39,0.43,1.37,0.57,8.13,163.11023999999998,0.74,236.57634,183.47,0.91,154.8475,2030s,ssp585,GFDL_ESM4,8931.570647451306,8135.660647451306,14.599247598648072,-795.91,10419.949608208364,9617.001608208364,14.720921759605408,-802.948,116.75,40.26666666666667,Xiao2024_rds_2030s
69198.0,437.32,0.43,1.37,0.57,8.13,170.0238,0.79,154.8939,190.48,0.94,102.77,2030s,ssp245,HadGEM3_GC31_LL,7801.450715610593,6843.404715610593,14.624784684181217,-958.046,10095.67613603549,9137.21013603549,15.34871726989746,-958.466,116.75,40.26666666666667,Xiao2024_rds_2030s
69198.0,456.39,0.43,1.37,0.57,8.13,157.8348,0.77,210.03556,165.66,0.92,160.8045,2030s,ssp585,HadGEM3_GC31_LL,8218.121654907827,7305.443654907827,14.391724348068236,-912.678,10003.324255280748,9074.737255280748,14.691227698326111,-928.587,116.75,40.26666666666667,Xiao2024_rds_2030s
69198.0,437.32,0.43,1.37,0.57,8.13,159.51599999999996,0.8,202.419,194.33,0.93,150.3,2030s,ssp245,IPSL_CM6A_LR,8760.468786003075,7863.2147860030755,14.971159648895265,-897.254,9960.917544383574,9072.933544383572,15.309195270538332,-887.984,116.75,40.26666666666667,Xiao2024_rds_2030s
69198.0,456.39,0.43,1.37,0.57,8.13,156.1212,0.76,192.96858,189.72,0.93,142.42749999999998,2030s,ssp585,IPSL_CM6A_LR,8489.116346522693,7720.061346522692,14.373273825645448,-769.055,10099.846672689826,9305.807672689823,14.9292750787735,-794.039,116.75,40.26666666666667,Xiao2024_rds_2030s
69198.0,437.32,0.43,1.37,0.57,8.13,168.41597999999996,0.8,196.6125,192.83,0.93,144.79,2030s,ssp245,MIROC6,8868.807513057785,7952.296513057785,14.72456648349762,-916.511,10276.167264343923,9382.772264343925,15.042116651535036,-893.395,116.75,40.26666666666667,Xiao2024_rds_2030s
69198.0,456.39,0.43,1.37,0.57,8.13,165.852,0.79,191.61114,183.91,0.93,131.03099999999998,2030s,ssp585,MIROC6,8812.458494847175,7963.164494847175,14.656005525588991,-849.294,10514.046112828508,9703.935112828509,15.23717399120331,-810.111,116.75,40.26666666666667,Xiao2024_rds_2030s
69198.0,512.23,0.43,1.37,0.57,8.13,166.51008,0.57,172.4604,160.36,0.87,142.1696,2060s,ssp245,BCC_CSM2_MR,7699.323008934517,7344.308008934517,13.512784600257874,-355.015,10415.246709092937,10003.644709092936,14.521046972274782,-411.602,116.75,40.26666666666667,Xiao2024_rds_2060s
69198.0,641.34,0.43,1.37,0.57,8.13,173.89709999999997,0.61,121.00536,145.83,0.81,131.173,2060s,ssp585,BCC_CSM2_MR,6745.187087496525,6478.813087496525,12.962592124938965,-266.374,10511.549906749296,10224.327906749297,13.76466745853424,-287.222,116.75,40.26666666666667,Xiao2024_rds_2060s
69198.0,512.23,0.43,1.37,0.57,8.13,144.2232,0.25,192.3054,172.82,0.87,212.2752,2060s,ssp245,FGOALS_g3,8471.627571605684,8192.030571605685,13.622533440589905,-279.597,10206.88329834759,9842.781298347589,14.74114064216614,-364.102,116.75,40.26666666666667,Xiao2024_rds_2060s
69198.0,641.34,0.43,1.37,0.57,8.13,139.7214,0.57,211.13568,162.18,0.81,179.8594,2060s,ssp585,FGOALS_g3,7990.056493449077,7753.033493449077,13.579467225074769,-237.023,10355.081411107862,10025.288411107862,14.816463050842287,-329.793,116.75,40.26666666666667,Xiao2024_rds_2060s
69198.0,512.23,0.43,1.37,0.57,8.13,140.63544,0.21,214.8258,183.81,0.88,184.768,2060s,ssp245,GFDL_ESM4,8786.96527028187,8335.25127028187,14.33701083660126,-451.714,10463.363260560289,10025.274260560289,15.142963409423828,-438.089,116.75,40.26666666666667,Xiao2024_rds_2060s
69198.0,641.34,0.43,1.37,0.57,8.13,141.921,0.45,196.96824,162.11,0.81,149.9988,2060s,ssp585,GFDL_ESM4,7690.311412554583,7459.893412554583,12.899801182746888,-230.418,10441.783816151872,10129.140816151872,14.115038094520571,-312.643,116.75,40.26666666666667,Xiao2024_rds_2060s
69198.0,512.23,0.43,1.37,0.57,8.13,171.65412,0.74,122.1717,141.61,0.89,109.824,2060s,ssp245,HadGEM3_GC31_LL,6508.777206871195,6110.543206871194,13.588554859161375,-398.234,10499.874469230768,10107.307469230767,14.928090929985046,-392.567,116.75,40.26666666666667,Xiao2024_rds_2060s
69198.0,641.34,0.43,1.37,0.57,8.13,153.4806,0.58,74.17872,132.82,0.76,167.727,2060s,ssp585,HadGEM3_GC31_LL,6295.419243096043,6097.2652430960425,13.699733757972718,-198.154,10510.921039940542,10276.716039940542,14.63336187362671,-234.205,116.75,40.26666666666667,Xiao2024_rds_2060s
69198.0,512.23,0.43,1.37,0.57,8.13,168.26831999999996,0.53,191.3352,135.87,0.87,124.63360000000002,2060s,ssp245,IPSL_CM6A_LR,7143.829562628326,6833.398562628327,13.782482433319093,-310.431,10319.407367724943,9973.261367724945,14.285598311424256,-346.146,116.75,40.26666666666667,Xiao2024_rds_2060s
69198.0,641.34,0.43,1.37,0.57,8.13,162.5832,0.6,100.0944,123.16,0.81,150.6162,2060s,ssp585,IPSL_CM6A_LR,6281.080318773032,6022.987318773032,12.605241060256958,-258.093,10478.55117833776,10218.08717833776,14.23203528404236,-260.464,116.75,40.26666666666667,Xiao2024_rds_2060s
69198.0,512.23,0.43,1.37,0.57,8.13,160.28495999999998,0.43,188.013,180.88,0.87,143.7312,2060s,ssp245,MIROC6,8754.13293161467,8496.04793161467,13.895711636543275,-258.085,10810.372640764625,10472.892640764623,14.784408020973206,-337.48,116.75,40.26666666666667,Xiao2024_rds_2060s
69198.0,641.34,0.43,1.37,0.57,8.13,157.01399999999998,0.54,157.03632,161.64,0.82,152.89960000000002,2060s,ssp585,MIROC6,7568.748986036321,7268.384986036322,13.392910385131838,-300.364,10446.645570160572,10113.971570160573,14.313089361190798,-332.674,116.75,40.26666666666667,Xiao2024_rds_2060s
70518.0,437.32,0.43,1.37,0.57,8.13,157.22453999999996,0.8,191.2617,197.98,0.93,143.89,2030s,ssp245,BCC_CSM2_MR,8708.80079544716,7823.86579544716,14.477374720573426,-884.935,9936.207070028691,9019.520070028691,15.0695721244812,-916.687,116.75,40.25833333333333,Xiao2024_rds_2030s
70518.0,456.39,0.43,1.37,0.57,8.13,156.10896,0.77,175.4774,182.0,0.93,157.6765,2030s,ssp585,BCC_CSM2_MR,8117.313224706891,7252.72222470689,14.237915062904358,-864.591,10140.343749201207,9304.885749201208,15.002006688117982,-835.458,116.75,40.25833333333333,Xiao2024_rds_2030s
70518.0,437.32,0.43,1.37,0.57,8.13,156.28769999999997,0.8,197.2887,199.76,0.93,157.18,2030s,ssp245,FGOALS_g3,8978.70081285722,8046.73281285722,14.11490173339844,-931.968,10041.992911970528,9106.826911970527,14.789420371055604,-935.166,116.75,40.25833333333333,Xiao2024_rds_2030s
70518.0,456.39,0.43,1.37,0.57,8.13,156.06,0.79,203.51702,188.46,0.93,155.3075,2030s,ssp585,FGOALS_g3,8730.237470396662,7845.010470396662,14.0162113904953,-885.227,10100.949919923629,9213.346919923628,14.677904715538029,-887.603,116.75,40.25833333333333,Xiao2024_rds_2030s
70518.0,437.32,0.43,1.37,0.57,8.13,162.63035999999997,0.8,205.1973,196.2,0.92,162.6,2030s,ssp245,GFDL_ESM4,9205.38728132082,8317.55128132082,14.896413302421571,-887.836,10232.353893366791,9400.347893366794,15.07443829059601,-832.006,116.75,40.25833333333333,Xiao2024_rds_2030s
70518.0,456.39,0.43,1.37,0.57,8.13,163.11023999999998,0.74,236.57634,183.47,0.91,154.8475,2030s,ssp585,GFDL_ESM4,8931.570647451306,8135.660647451306,14.599247598648072,-795.91,10419.949608208364,9617.001608208364,14.720921759605408,-802.948,116.75,40.25833333333333,Xiao2024_rds_2030s
70518.0,437.32,0.43,1.37,0.57,8.13,170.0238,0.79,154.8939,190.48,0.94,102.77,2030s,ssp245,HadGEM3_GC31_LL,7801.450715610593,6843.404715610593,14.624784684181217,-958.046,10095.67613603549,9137.21013603549,15.34871726989746,-958.466,116.75,40.25833333333333,Xiao2024_rds_2030s
70518.0,456.39,0.43,1.37,0.57,8.13,157.8348,0.77,210.03556,165.66,0.92,160.8045,2030s,ssp585,HadGEM3_GC31_LL,8218.121654907827,7305.443654907827,14.391724348068236,-912.678,10003.324255280748,9074.737255280748,14.691227698326111,-928.587,116.75,40.25833333333333,Xiao2024_rds_2030s
70518.0,437.32,0.43,1.37,0.57,8.13,159.51599999999996,0.8,202.419,194.33,0.93,150.3,2030s,ssp245,IPSL_CM6A_LR,8760.468786003075,7863.2147860030755,14.971159648895265,-897.254,9960.917544383574,9072.933544383572,15.309195270538332,-887.984,116.75,40.25833333333333,Xiao2024_rds_2030s
70518.0,456.39,0.43,1.37,0.57,8.13,156.1212,0.76,192.96858,189.72,0.93,142.42749999999998,2030s,ssp585,IPSL_CM6A_LR,8489.116346522693,7720.061346522692,14.373273825645448,-769.055,10099.846672689826,9305.807672689823,14.9292750787735,-794.039,116.75,40.25833333333333,Xiao2024_rds_2030s
70518.0,437.32,0.43,1.37,0.57,8.13,168.41597999999996,0.8,196.6125,192.83,0.93,144.79,2030s,ssp245,MIROC6,8868.807513057785,7952.296513057785,14.72456648349762,-916.511,10276.167264343923,9382.772264343925,15.042116651535036,-893.395,116.75,40.25833333333333,Xiao2024_rds_2030s
70518.0,456.39,0.43,1.37,0.57,8.13,165.852,0.79,191.61114,183.91,0.93,131.03099999999998,2030s,ssp585,MIROC6,8812.458494847175,7963.164494847175,14.656005525588991,-849.294,10514.046112828508,9703.935112828509,15.23717399120331,-810.111,116.75,40.25833333333333,Xiao2024_rds_2030s
70518.0,512.23,0.43,1.37,0.57,8.13,166.51008,0.57,172.4604,160.36,0.87,142.1696,2060s,ssp245,BCC_CSM2_MR,7699.323008934517,7344.308008934517,13.512784600257874,-355.015,10415.246709092937,10003.644709092936,14.521046972274782,-411.602,116.75,40.25833333333333,Xiao2024_rds_2060s
70518.0,641.34,0.43,1.37,0.57,8.13,173.89709999999997,0.61,121.00536,145.83,0.81,131.173,2060s,ssp585,BCC_CSM2_MR,6745.187087496525,6478.813087496525,12.962592124938965,-266.374,10511.549906749296,10224.327906749297,13.76466745853424,-287.222,116.75,40.25833333333333,Xiao2024_rds_2060s
70518.0,512.23,0.43,1.37,0.57,8.13,144.2232,0.25,192.3054,172.82,0.87,212.2752,2060s,ssp245,FGOALS_g3,8471.627571605684,8192.030571605685,13.622533440589905,-279.597,10206.88329834759,9842.781298347589,14.74114064216614,-364.102,116.75,40.25833333333333,Xiao2024_rds_2060s
70518.0,641.34,0.43,1.37,0.57,8.13,139.7214,0.57,211.13568,162.18,0.81,179.8594,2060s,ssp585,FGOALS_g3,7990.056493449077,7753.033493449077,13.579467225074769,-237.023,10355.081411107862,10025.288411107862,14.816463050842287,-329.793,116.75,40.25833333333333,Xiao2024_rds_2060s
70518.0,512.23,0.43,1.37,0.57,8.13,140.63544,0.21,214.8258,183.81,0.88,184.768,2060s,ssp245,GFDL_ESM4,8786.96527028187,8335.25127028187,14.33701083660126,-451.714,10463.363260560289,10025.274260560289,15.142963409423828,-438.089,116.75,40.25833333333333,Xiao2024_rds_2060s
70518.0,641.34,0.43,1.37,0.57,8.13,141.921,0.45,196.96824,162.11,0.81,149.9988,2060s,ssp585,GFDL_ESM4,7690.311412554583,7459.893412554583,12.899801182746888,-230.418,10441.783816151872,10129.140816151872,14.115038094520571,-312.643,116.75,40.25833333333333,Xiao2024_rds_2060s
70518.0,512.23,0.43,1.37,0.57,8.13,171.65412,0.74,122.1717,141.61,0.89,109.824,2060s,ssp245,HadGEM3_GC31_LL,6508.777206871195,6110.543206871194,13.588554859161375,-398.234,10499.874469230768,10107.307469230767,14.928090929985046,-392.567,116.75,40.25833333333333,Xiao2024_rds_2060s
70518.0,641.34,0.43,1.37,0.57,8.13,153.4806,0.58,74.17872,132.82,0.76,167.727,2060s,ssp585,HadGEM3_GC31_LL,6295.419243096043,6097.2652430960425,13.699733757972718,-198.154,10510.921039940542,10276.716039940542,14.63336187362671,-234.205,116.75,40.25833333333333,Xiao2024_rds_2060s
70518.0,512.23,0.43,1.37,0.57,8.13,168.26831999999996,0.53,191.3352,135.87,0.87,124.63360000000002,2060s,ssp245,IPSL_CM6A_LR,7143.829562628326,6833.398562628327,13.782482433319093,-310.431,10319.407367724943,9973.261367724945,14.285598311424256,-346.146,116.75,40.25833333333333,Xiao2024_rds_2060s
70518.0,641.34,0.43,1.37,0.57,8.13,162.5832,0.6,100.0944,123.16,0.81,150.6162,2060s,ssp585,IPSL_CM6A_LR,6281.080318773032,6022.987318773032,12.605241060256958,-258.093,10478.55117833776,10218.08717833776,14.23203528404236,-260.464,116.75,40.25833333333333,Xiao2024_rds_2060s
70518.0,512.23,0.43,1.37,0.57,8.13,160.28495999999998,0.43,188.013,180.88,0.87,143.7312,2060s,ssp245,MIROC6,8754.13293161467,8496.04793161467,13.895711636543275,-258.085,10810.372640764625,10472.892640764623,14.784408020973206,-337.48,116.75,40.25833333333333,Xiao2024_rds_2060s
70518.0,641.34,0.43,1.37,0.57,8.13,157.01399999999998,0.54,157.03632,161.64,0.82,152.89960000000002,2060s,ssp585,MIROC6,7568.748986036321,7268.384986036322,13.392910385131838,-300.364,10446.645570160572,10113.971570160573,14.313089361190798,-332.674,116.75,40.25833333333333,Xiao2024_rds_2060s
66559.0,437.32,0.43,1.37,0.57,8.13,167.54243999999997,0.81,194.2752,194.08,0.93,136.77,2030s,ssp245,BCC_CSM2_MR,8854.901253229928,7979.328253229927,14.541534852981568,-875.573,10048.031936196556,9168.802936196556,14.99408711910248,-879.229,116.75833333333333,40.28333333333334,Xiao2024_rds_2030s
66559.0,456.39,0.43,1.37,0.57,8.13,161.34768,0.79,186.33692,185.22,0.93,135.171,2030s,ssp585,BCC_CSM2_MR,8630.138791503592,7784.289791503592,14.549665784835817,-845.849,10182.835205787203,9355.397205787203,14.96410533428192,-827.438,116.75833333333333,40.28333333333334,Xiao2024_rds_2030s
66559.0,437.32,0.43,1.37,0.57,8.13,158.08542,0.81,197.715,195.09,0.93,145.26,2030s,ssp245,FGOALS_g3,8707.606588938856,7795.331588938856,14.223898959159852,-912.275,9839.690765136264,8924.891765136264,14.554766354560853,-914.799,116.75833333333333,40.28333333333334,Xiao2024_rds_2030s
66559.0,456.39,0.43,1.37,0.57,8.13,162.70632,0.78,196.70154,183.84,0.92,149.39649999999995,2030s,ssp585,FGOALS_g3,8639.35393613028,7837.828936130279,14.04010798931122,-801.525,9911.167524365654,9058.049524365651,14.778711061477662,-853.118,116.75833333333333,40.28333333333334,Xiao2024_rds_2030s
66559.0,437.32,0.43,1.37,0.57,8.13,169.0743,0.79,188.2335,191.13,0.92,161.05,2030s,ssp245,GFDL_ESM4,9009.29039600148,8039.461396001481,15.386722826957705,-969.829,10173.844018827804,9197.802018827804,15.486659569740295,-976.042,116.75833333333333,40.28333333333334,Xiao2024_rds_2030s
66559.0,456.39,0.43,1.37,0.57,8.13,161.64144,0.72,230.43958,182.02,0.91,159.8155,2030s,ssp585,GFDL_ESM4,8989.058287091197,8239.320287091197,14.686852288246156,-749.738,10317.452615152724,9503.966615152724,14.71703660964966,-813.486,116.75833333333333,40.28333333333334,Xiao2024_rds_2030s
66559.0,437.32,0.43,1.37,0.57,8.13,171.63161999999997,0.8,148.67579999999998,193.29,0.93,103.63,2030s,ssp245,HadGEM3_GC31_LL,7989.800628435384,6996.463628435384,14.84008815288544,-993.337,10034.186143698647,9104.195143698647,15.391178441047668,-929.991,116.75833333333333,40.28333333333334,Xiao2024_rds_2030s
66559.0,456.39,0.43,1.37,0.57,8.13,157.66344,0.75,224.65632,164.72,0.93,115.6785,2030s,ssp585,HadGEM3_GC31_LL,7782.0694840334845,6845.346484033485,14.197852420806884,-936.723,9815.863126850763,8942.957126850764,14.833017144203186,-872.906,116.75833333333333,40.28333333333334,Xiao2024_rds_2030s
66559.0,437.32,0.43,1.37,0.57,8.13,157.85753999999997,0.8,198.9057,199.67,0.93,144.57,2030s,ssp245,IPSL_CM6A_LR,8877.09311343527,7962.750113435271,14.61932897567749,-914.343,9879.511715508144,8936.459715508143,15.229884309768678,-943.052,116.75833333333333,40.28333333333334,Xiao2024_rds_2030s
66559.0,456.39,0.43,1.37,0.57,8.13,155.28887999999998,0.76,191.30006,186.45,0.93,137.402,2030s,ssp585,IPSL_CM6A_LR,8531.600039372534,7732.364039372534,14.20162479877472,-799.236,10145.55335231572,9316.511352315722,14.83397702217102,-829.042,116.75833333333333,40.28333333333334,Xiao2024_rds_2030s
66559.0,437.32,0.43,1.37,0.57,8.13,167.68169999999998,0.79,185.1465,190.99,0.92,142.81,2030s,ssp245,MIROC6,8885.335386258213,7869.624386258213,14.678725600242617,-1015.711,10256.320089436213,9279.534089436213,14.90120005607605,-976.786,116.75833333333333,40.28333333333334,Xiao2024_rds_2030s
66559.0,456.39,0.43,1.37,0.57,8.13,168.29999999999998,0.8,174.00683999999998,180.48,0.92,110.446,2030s,ssp585,MIROC6,8259.062777840698,7507.733777840698,14.70061707496643,-751.329,10512.279603304818,9746.168603304815,15.068754353523255,-766.111,116.75833333333333,40.28333333333334,Xiao2024_rds_2030s
66559.0,512.23,0.43,1.37,0.57,8.13,163.54008,0.56,151.1601,168.6,0.86,106.6496,2060s,ssp245,BCC_CSM2_MR,7354.813916037718,7095.712916037718,13.115769958496095,-259.101,10379.222546128502,10033.2465461285,14.280968112945558,-345.976,116.75833333333333,40.28333333333334,Xiao2024_rds_2060s
66559.0,641.34,0.43,1.37,0.57,8.13,181.2096,0.63,122.65344000000002,143.03,0.81,109.8874,2060s,ssp585,BCC_CSM2_MR,6586.674969860554,6322.681969860553,12.798709177970888,-263.993,10413.830276040306,10125.618276040306,13.691825637817384,-288.212,116.75833333333333,40.28333333333334,Xiao2024_rds_2060s
66559.0,512.23,0.43,1.37,0.57,8.13,141.51456000000002,0.22,188.3805,178.23,0.85,209.2544,2060s,ssp245,FGOALS_g3,8487.949364450185,8079.353364450186,13.749348545074463,-408.596,10103.765579796473,9731.683579796472,14.778341746330264,-372.082,116.75833333333333,40.28333333333334,Xiao2024_rds_2060s
